######Solution summary######
District nodes: [111, 116, 130, 143, 227, 234, 235, 236, 237, 238, 239, 240, 325, 326, 440, 441, 443, 485, 487, 490, 491, 557, 606, 630, 631, 640, 642, 654, 723, 726, 756]
Suffix: _LB=1000000.0
Polsby-Popper score: 0.8820
Inverse Polsby-Popper score (Objective value): 1.1338
Area: 1673228.4760
Perimeter: 4882.5684
Model status: 2
######All Variables######
x[678]: -0.0000
x[681]: -0.0000
x[682]: -0.0000
x[683]: -0.0000
x[684]: -0.0000
x[686]: -0.0000
x[687]: -0.0000
x[688]: -0.0000
x[693]: -0.0000
x[694]: -0.0000
x[695]: -0.0000
x[696]: -0.0000
x[698]: -0.0000
x[706]: -0.0000
x[710]: -0.0000
x[711]: -0.0000
x[712]: -0.0000
x[713]: -0.0000
x[718]: -0.0000
x[719]: -0.0000
x[720]: -0.0000
x[722]: -0.0000
x[723]: 1.0000
x[724]: -0.0000
x[725]: -0.0000
x[726]: 1.0000
x[727]: -0.0000
x[728]: -0.0000
x[731]: -0.0000
x[732]: -0.0000
x[733]: -0.0000
x[734]: -0.0000
x[735]: -0.0000
x[736]: -0.0000
x[737]: -0.0000
x[738]: -0.0000
x[739]: -0.0000
x[740]: -0.0000
x[741]: -0.0000
x[742]: -0.0000
x[743]: -0.0000
x[744]: -0.0000
x[745]: -0.0000
x[746]: -0.0000
x[749]: -0.0000
x[750]: -0.0000
x[751]: -0.0000
x[752]: -0.0000
x[753]: -0.0000
x[755]: -0.0000
x[756]: 1.0000
x[757]: -0.0000
x[758]: -0.0000
x[759]: -0.0000
x[760]: -0.0000
x[761]: -0.0000
x[762]: -0.0000
x[763]: -0.0000
x[764]: -0.0000
x[765]: -0.0000
x[766]: -0.0000
x[767]: -0.0000
x[768]: -0.0000
x[769]: -0.0000
x[770]: -0.0000
x[771]: -0.0000
x[773]: -0.0000
x[779]: -0.0000
x[780]: -0.0000
x[782]: -0.0000
x[785]: -0.0000
y[0,16]: -0.0000
y[0,26]: 0.0000
y[0,27]: -0.0000
y[1,2]: -0.0000
y[1,3]: 0.0000
y[1,16]: -0.0000
y[1,41]: -0.0000
