FID,area
310,16572.0
311,27751.0
312,25135.0
313,21211.0
314,20762.0
315,28946.0
316,32511.0
317,19495.0
318,19509.0
319,23787.0
320,11902.0
321,15330.0
322,13324.0
323,24226.0
324,23487.0
325,21364.0
326,24073.0
327,12449.0
328,19921.0
329,27221.0
330,26371.0
331,30817.0
332,17446.0
333,13833.0
334,17696.0
335,24711.0
336,21076.0
337,20578.0
338,5062.0
339,12386.0
340,31086.0
341,12894.0
342,24531.0
343,18560.0
344,22348.0
345,16200.0
346,17713.0
347,17652.0
348,17147.0
349,16039.0
350,29283.0
351,17220.0
352,9906.0
353,17396.0
354,18370.0
355,14922.0
356,21049.0
357,20055.0
358,16447.0
359,16136.0
360,22181.0
361,16087.0
362,23211.0
363,25195.0
364,24153.0
365,15357.0
366,18063.0
367,25186.0
368,9995.0
369,17896.0
370,19045.0
371,28171.0
372,21555.0
373,17177.0
374,16662.0
375,7054.0
376,14680.0
377,17436.0
378,26889.0
379,19283.0
380,22328.0
381,18744.0
382,13048.0
383,20507.0
384,28224.0
385,27312.0
386,22927.0
387,4200.0
388,2506.0
389,28375.0
390,2036.0
391,19193.0
392,16396.0
393,18299.0
394,22637.0
395,14299.0
396,30249.0
397,27433.0
398,29624.0
399,22796.0
400,26062.0
401,25396.0
402,26835.0
403,24162.0
404,21400.0
405,23123.0
406,25894.0
407,27232.0
408,31587.0
409,22992.0
410,21575.0
411,30678.0
412,36171.0
413,28435.0
414,27095.0
415,33955.0
416,4795.0
417,17885.0
418,18839.0
419,27209.0
420,26153.0
421,9583.0
422,22027.0
423,15197.0
424,14507.0
425,25907.0
426,18744.0
427,12923.0
428,15002.0
429,17874.0
430,17303.0
431,26066.0
432,23454.0
433,16821.0
434,14676.0
435,29057.0
436,30800.0
437,11765.0
438,19996.0
439,18994.0
440,30471.0
441,16884.0
442,31663.0
443,34574.0
444,17561.0
445,15618.0
446,18616.0
447,21118.0
448,23066.0
449,21609.0
450,18597.0
451,25000.0
452,25832.0
453,14672.0
454,23203.0
455,23705.0
456,23720.0
457,24936.0
458,17703.0
459,22751.0
460,21308.0
461,28290.0
462,12446.0
463,30335.0
464,24809.0
465,23341.0
466,25573.0
467,27525.0
468,28057.0
469,26474.0
470,23008.0
471,18198.0
472,32471.0
473,27491.0
474,24238.0
475,18120.0
476,17009.0
477,21588.0
478,16656.0
479,18588.0
480,16166.0
481,26764.0
482,21966.0
483,17207.0
484,24109.0
485,20118.0
486,19083.0
487,19349.0
488,23433.0
489,23285.0
490,17980.0
491,17847.0
492,56841.0
493,18009.0
494,8372.0
495,23943.0
496,14967.0
497,18277.0
498,8248.0
499,18681.0
500,15611.0
501,15723.0
502,19696.0
503,22672.0
504,25529.0
505,20422.0
506,18052.0
507,14210.0
508,28875.0
509,27291.0
510,28701.0
511,17947.0
512,22118.0
513,26862.0
514,15928.0
515,15627.0
516,22901.0
517,27310.0
518,27259.0
519,24992.0
520,29426.0
521,31631.0
522,23616.0
523,26563.0
524,21059.0
525,22723.0
526,20245.0
527,19182.0
528,32776.0
529,26788.0
530,22389.0
531,23096.0
532,33890.0
533,14961.0
534,3277.0
535,20236.0
536,12210.0
537,5018.0
538,11345.0
539,8745.0
540,20035.0
541,16315.0
542,15781.0
543,21539.0
544,16368.0
545,22257.0
546,22692.0
547,22920.0
548,18393.0
549,21446.0
550,29095.0
551,24568.0
552,11853.0
553,30714.0
554,22719.0
555,18816.0
556,12842.0
557,34662.0
558,17622.0
559,11714.0
560,21449.0
561,17922.0
562,21989.0
563,30076.0
564,22844.0
565,24506.0
