from_id,to_id,weight
28,34,561.7670423515943
28,59,339.0742101632199
28,108,171.80634704740217
29,46,292.7589248456225
29,-1,271.0900264708844
30,98,10.01909932121879
31,108,30.887872163846183
31,175,22.090430764763155
32,33,208.79010241989158
32,35,3134.3621701916427
32,-1,4473.493512272816
33,34,957.7994162772986
33,41,124.85252598815909
33,42,90.94637070816009
33,44,214.68106649156996
33,107,23.407556004549225
33,109,896.6005915409754
33,131,45.43711585065316
33,148,48.86344641552027
33,-1,717.0169446404456
34,35,1577.0882944602117
34,59,2124.1912537719177
34,108,251.49148233847257
34,155,65.63284111685263
34,170,19.535094807313236
34,172,40.53352265286659
34,173,20.164612850163962
35,170,17.629779480275772
35,172,17.500583273837307
35,173,21.055465890579868
35,-1,7065.541794542675
36,37,41.52059372437644
36,44,50.76705421237054
36,80,50.14558061075532
36,106,129.09864756428294
36,150,32.97052168753724
36,152,39.44592043131796
37,45,172.27352447924818
37,80,2664.2700154632007
37,106,194.17821553810882
37,107,50.496885255538885
37,109,10.710532466267042
37,116,10.430438392197665
37,-1,2690.436645699162
39,40,2380.215305291213
39,67,956.4985882465808
39,68,323.6979974478148
39,120,26.315209643741483
39,154,56.043627412451826
39,176,41.25979226687392
39,-1,4711.140748888766
40,67,567.0949917956509
40,76,305.577337147196
40,154,15.496550084923465
40,163,44.213015564083484
40,176,9.687046171991199
40,-1,4191.065581712968
42,44,91.41233790991579
43,44,2289.0638530553465
43,48,201.89421546323823
43,71,32.45564971788177
43,101,449.9271630481797
43,111,1397.9060915221023
43,130,46.24446021670006
43,136,184.3655087987233
43,142,69.93718995567576
43,144,26.30632719456715
44,66,2043.083968507424
44,80,2580.827433905394
44,101,382.1279761575886
44,109,900.7871091703494
44,113,5343.245807105466
44,130,37.79033731431316
44,135,153.7801526006767
44,136,187.9048009670201
44,151,41.96503605118869
44,152,40.22690939458127
44,153,102.1340028381806
44,162,250.61564548584897
45,107,119.55508390860419
45,-1,178.35870278327178
46,110,16.84891606763636
46,-1,604.3279005326942
48,71,185.12154645344512
48,111,230.33139971345915
49,61,1699.6255198868662
49,111,1670.8427374243306
49,122,110.97051802438656
49,143,36.82453965979721
49,167,43.64938450017
49,-1,3416.3209761499324
50,51,556.5298719525459
50,58,34.79540306793539
50,60,596.0406447885267
50,91,148.47429756580496
50,95,386.4734490732134
50,96,10.606203403517696
50,97,17.11025850423339
50,112,397.1947983293046
50,119,51.36181466675806
50,134,66.24783528494291
50,171,27.693286556997958
51,96,12.859606809418962
51,-1,562.9247150889265
56,57,22.68251908207499
56,105,22.227559391855518
56,-1,38.951047553813126
57,103,251.99950896203106
57,132,72.50244114144964
57,-1,306.14512619957145
58,97,10.7404739720255
58,177,15.086246479974296
59,-1,4704.672366356885
60,138,71.04918299142673
60,-1,500.30083180777524
61,75,206.17818717773926
61,82,1096.0931021758436
61,100,41.27874663463236
61,103,959.7200307371571
61,113,5092.499037212694
61,143,43.06517587192353
61,146,31.370094078769583
61,168,30.222274090890608
61,169,17.991456017312935
61,-1,7270.387414588948
62,63,9.884580054195213
62,64,60.48828674205214
62,68,60.925965568645594
63,95,12.23795743621186
63,134,8.524846725005338
64,65,103.64171410729172
64,68,1295.3280344703905
64,69,780.5407669466093
64,72,886.2376845052341
64,102,674.1622464213244
65,102,94.26448282570473
66,128,113.72781151541291
66,162,249.95868732798957
67,68,1395.3248745964204
67,70,116.3639145799907
67,72,1404.3628503900939
67,83,42.64642766208032
67,86,116.2689223335679
67,94,293.3216731571504
67,120,26.4976429109731
67,163,28.78652628735479
67,166,11.947564333429423
67,176,12.218967408492315
67,-1,670.3290821111748
68,72,326.6892800050722
68,95,372.5579204699472
68,121,40.23778475142979
68,161,54.07968260377406
68,166,38.79715710773645
68,-1,2122.5088178488927
69,72,1102.401207534187
69,88,155.1550407314548
69,90,70.32037520525705
69,139,40.809762379746545
69,-1,846.6518973201557
70,86,113.33079082400178
70,-1,145.21191752138753
71,111,35.47941704689453
71,144,31.955930439785963
71,145,41.48095269298129
71,153,61.23601601523782
72,83,6.139176718351504
72,86,36.6493450585298
72,90,94.40427967237575
72,137,33.544887428934814
72,139,13.263624773550752
72,-1,2083.3031917058993
75,100,162.7954569544517
75,113,203.77374839253093
76,94,193.56977086756243
76,-1,194.72447172037272
80,106,132.93419777554826
80,115,715.0172408205797
80,150,32.30248355293395
80,151,44.02366787671843
82,-1,2151.1803617548117
83,86,23.21584887052725
83,137,20.739357989728713
86,137,32.820154430307085
86,-1,83.8376940560861
88,90,139.26122164366384
88,-1,175.70053010996298
90,139,39.89032621898813
90,-1,15.506208454424499
91,112,563.7927713604295
92,142,12.877119186332198
94,-1,164.18295347171085
95,96,12.107036837221692
95,161,19.440288446603702
96,121,11.000565018553953
97,171,18.922898714938025
98,99,10.256059452706094
100,113,55.53219583795312
100,122,75.87791385618326
100,146,31.893307904149065
100,147,36.944052925347066
101,135,150.74660910766798
